Artifacts,Fan-Out,LCOM2
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\assembly.h,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\assemblyGener.c,13,134.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\assemblyGener.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\blend.c,34,14542.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\blend.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\blendctrl.c,10,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\blendctrl.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\blend_symbol_cost.c,5,3.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\bulles.c,3,54.2
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\bulles.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\cand.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\cost.c,2,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\cost.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\costfunc.c,21,36.54545454545455
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\costfunc.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\csc.h,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\distribPart.c,20,3463.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\distribPart.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\elimin.c,2,6.4
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\elimin.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\eliminfunc.c,18,63.333333333333336
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\eliminfunc.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\extendVector.c,2,0.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\extendVector.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\extrastruct.c,4,12.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\extrastruct.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\fanboth2.c,9,36413.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\fanboth2.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\ftgt.h,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\param_blend.c,2,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\param_blend.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\partbuild.c,19,1244.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\partbuild.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\queue.c,2,34.09090909090909
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\queue.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\seb.c,7,50.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\seb.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\simu.c,7,165.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\simu.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solver.h,4,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solverMatrixGen.c,23,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solverMatrixGen.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solverRealloc.c,9,35.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solverRealloc.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solver_check.c,18,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solver_check.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solver_io.c,10,6515.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\solver_io.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\splitfunc.c,19,23.25
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\splitfunc.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\splitpart.c,21,595.4285714285714
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\splitpart.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\splitpartlocal.c,18,1688.2
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\splitpartlocal.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\symbolrand.c,3,175.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\symbolrand.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\symbol_cost.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\task.c,18,1783.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\task.h,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\updown.h,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\write_ps.c,19,286.1111111111111
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\blend\src\write_ps.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\api.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common.c,5,9.2
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common_error.c,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common_integer.c,6,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common_integer.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common_memory.c,2,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common_pastix.h,4,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common_sort.c,0,13.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common_sort2.c,0,79.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\common_sort3.c,0,4.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\debug.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\errors.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\nompi.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\out.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\pastix_fortran.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\redefine_functions.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\testqsort.c,2,988.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\trace.c,2,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\common\src\trace.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\do_not_redispatch_rhs.c,4,1062.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\fsimple.f90,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\fstep-by-step.f90,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\isolate_zeros.c,3,374.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\multi-comm-step.c,3,2693.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\multi-comm.c,3,659.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\Murge-Fortran.f90,1,31.333333333333332
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\reentrant.c,3,161.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\reffinement.c,3,1252.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\schur.c,3,2552.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\schur2.c,3,4095.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\simple.c,3,1261.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\simple_dist.c,5,1709.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\simple_param.c,3,1293.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\step-by-step.c,3,1743.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\step-by-step_dist.c,4,2394.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\utils.f90,0,226.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\example\src\utils.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\fax.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_compact.c,4,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_costi.c,4,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_costi.h,4,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_fax.c,5,6.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_fax.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_faxi.c,5,1052.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_faxi.h,5,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_faxi_graph.c,8,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\fax\src\symbol_fax_graph.c,9,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\amalgamate.c,6,11154.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\amalgamate.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\compact_graph.c,3,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\compact_graph.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\find_supernodes.c,2,122.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\find_supernodes.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\ifax.c,6,505.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\ifax.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\isymb_compact.c,22,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\isymb_compact.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\kass.c,15,981.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\kass.h,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\KSupernodes.c,4,361.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\5.pastix\ex\pastix_release_3184\src\kass\src\KSupernodes.h,0,0.0
