Artifacts,Fan-Out,LCOM2
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\example.f90,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\ovr.f90,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_alloc.f90,0,4.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_alloc_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_analyse.f90,0,4.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_analyse_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_apply.f90,0,9.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_apply_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_err_check.f90,0,1.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_err_check_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_factorize.f90,0,4.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_factorize_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_get.f90,0,6.25
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_get_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_least_squares.f90,0,7.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_least_squares_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_matmul.f90,0,14.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_matmul_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_matnrm.f90,0,8.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_matnrm_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_min_norm.f90,0,5.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_min_norm_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_residual_norm.f90,0,8.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_residual_norm_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_residual_orth.f90,0,7.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_residual_orth_c.c,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\doc\pdf\listings\qrm_set.f90,0,7.0
